Car_ID,Brand,Model,Variant_Name,Year,Body_Type,Fuel_Type,Transmission,Price_Lakh,Mileage_kmpl,Engine_CC,Seating_Capacity,Service_Cost_INR,Airbags,ABS,Rear_Camera,Touchscreen,Cruise_Control,Sunroof,Safety_Rating,Brand_Image_Score,Sentiment_Score,Headlight_INR,Backlight_INR,FrontBumper_INR,RearBumper_INR,SideMirror_INR
33,Maruti Suzuki,Ertiga,LXi Petrol MT,2024,MPV,Petrol,Manual,8.6,20.5,1462,7,5000,2,Yes,Yes,Yes,No,No,3,7,0.6,9000,6000,14000,13000,5000
34,Maruti Suzuki,Ertiga,ZXi CNG MT,2024,MPV,CNG,Manual,11.5,26.1,1462,7,5200,4,Yes,Yes,Yes,No,No,3,7,0.6,9500,6500,15000,14000,5200
35,Renault,Kiger,RXE Petrol MT,2024,SUV,Petrol,Manual,6.5,20.5,999,5,4800,2,Yes,No,Yes,No,No,3,6,0.4,7000,4500,10000,9000,3500
36,Renault,Kiger,RXT Turbo AT,2024,SUV,Petrol,Automatic,9.8,19.0,999,5,5500,4,Yes,Yes,Yes,No,No,4,6,0.4,9000,6000,14000,13000,5000
37,Nissan,Magnite,XL Petrol MT,2024,SUV,Petrol,Manual,6.0,20.0,999,5,4700,2,Yes,No,Yes,No,No,4,6,0.45,7000,4500,10000,9000,3500
38,Nissan,Magnite,XV Turbo CVT,2024,SUV,Petrol,Automatic,10.0,17.7,999,5,5600,4,Yes,Yes,Yes,Yes,No,4,6,0.45,9000,6000,14000,13000,5000
39,Tata Motors,Tiago,XE Petrol MT,2024,Hatchback,Petrol,Manual,5.6,20.1,1199,5,4500,2,Yes,No,Yes,No,No,4,7,0.55,6000,4000,8500,7500,3000
40,Tata Motors,Tiago,EV XZ Plus,2024,Hatchback,Electric,Automatic,9.9,0.0,0,5,6000,4,Yes,Yes,Yes,No,No,4,7,0.55,12000,8000,18000,16000,6500
41,Maruti Suzuki,Alto K10,Std Petrol MT,2024,Hatchback,Petrol,Manual,3.9,24.9,998,5,4000,2,Yes,No,No,No,No,2,7,0.55,4500,3000,6500,5500,2200
42,Maruti Suzuki,Alto K10,VXi Petrol AT,2024,Hatchback,Petrol,Automatic,5.2,24.4,998,5,4200,2,Yes,No,Yes,No,No,2,7,0.55,5000,3200,7000,6000,2500
43,Maruti Suzuki,Alto K10,VXi CNG MT,2024,Hatchback,CNG,Manual,5.8,33.8,998,5,4100,2,Yes,No,Yes,No,No,2,7,0.55,5200,3500,7200,6200,2600
44,Maruti Suzuki,WagonR,LXi Petrol MT,2024,Hatchback,Petrol,Manual,5.6,23.6,998,5,4500,2,Yes,No,Yes,No,No,3,7,0.6,6000,4000,8500,7500,3000
45,Maruti Suzuki,WagonR,ZXi Petrol AT,2024,Hatchback,Petrol,Automatic,7.1,23.1,1197,5,4800,2,Yes,Yes,Yes,No,No,3,7,0.6,7000,4500,10000,9000,3500
46,Maruti Suzuki,WagonR,ZXi CNG MT,2024,Hatchback,CNG,Manual,7.4,34.0,1197,5,4700,2,Yes,No,Yes,No,No,3,7,0.6,7200,4800,10500,9500,3600
47,Hyundai,Grand i10 Nios,Era Petrol MT,2024,Hatchback,Petrol,Manual,5.9,20.7,1197,5,5200,2,Yes,No,Yes,No,No,3,8,0.65,6500,4200,9000,8000,3200
48,Hyundai,Grand i10 Nios,Sportz Petrol AT,2024,Hatchback,Petrol,Automatic,7.5,20.1,1197,5,5500,2,Yes,Yes,Yes,No,No,3,8,0.65,7500,4800,11000,10000,3800
49,Hyundai,Grand i10 Nios,Sportz CNG MT,2024,Hatchback,CNG,Manual,7.8,27.0,1197,5,5400,2,Yes,No,Yes,No,No,3,8,0.65,7800,5000,11500,10500,3900
50,Tata Motors,Punch,Pure Petrol MT,2024,SUV,Petrol,Manual,6.0,20.1,1199,5,5000,2,Yes,No,Yes,No,No,5,7,0.6,9000,6000,14000,13000,5000
51,Tata Motors,Punch,Creative Petrol AMT,2024,SUV,Petrol,Automatic,7.4,20.1,1199,5,5300,2,Yes,Yes,Yes,No,No,5,7,0.6,9500,6500,15000,14000,5200
52,Tata Motors,Punch,Adventure CNG MT,2024,SUV,CNG,Manual,7.3,26.9,1199,5,5200,2,Yes,No,Yes,No,No,5,7,0.6,9500,6500,15000,14000,5200
53,Renault,Kwid,Std Petrol MT,2024,Hatchback,Petrol,Manual,4.7,22.3,999,5,4200,2,Yes,No,No,No,No,2,6,0.4,4500,3000,6500,5500,2200
54,Renault,Kwid,Climber Petrol AMT,2024,Hatchback,Petrol,Automatic,5.6,22.0,999,5,4500,2,Yes,Yes,Yes,No,No,2,6,0.4,5000,3200,7000,6000,2500
55,Renault,Kwid,Climber CNG MT,2024,Hatchback,CNG,Manual,6.0,32.0,999,5,4400,2,Yes,No,Yes,No,No,2,6,0.4,5200,3500,7200,6200,2600
56,Nissan,Magnite,Base CNG MT,2024,SUV,CNG,Manual,7.2,24.0,999,5,5000,2,Yes,No,Yes,No,No,4,6,0.45,9000,6000,14000,13000,5000
57,Volkswagen,Taigun,Comfortline Petrol MT,2024,SUV,Petrol,Manual,11.7,19.2,999,5,9500,2,Yes,Yes,Yes,Yes,No,5,7,0.5,13000,9000,20000,18000,7500
58,Volkswagen,Taigun,GT Plus Petrol AT,2024,SUV,Petrol,Automatic,18.0,17.8,1498,5,10500,6,Yes,Yes,Yes,Yes,Yes,5,7,0.5,20000,14000,30000,28000,11000
59,Skoda,Kushaq,Active Petrol MT,2024,SUV,Petrol,Manual,11.6,19.8,999,5,9300,2,Yes,Yes,Yes,Yes,No,5,7,0.5,13000,9000,20000,18000,7500
60,Skoda,Kushaq,Style Petrol AT,2024,SUV,Petrol,Automatic,17.6,18.6,1498,5,10200,6,Yes,Yes,Yes,Yes,Yes,5,7,0.5,20000,14000,30000,28000,11000
61,Mahindra,Thar,AX Petrol MT,2024,SUV,Petrol,Manual,11.4,15.2,1997,4,9000,2,Yes,No,Yes,No,No,4,8,0.6,12000,8000,18000,16000,6500
62,Mahindra,Thar,LX Diesel AT,2024,SUV,Diesel,Automatic,16.8,13.0,2184,4,10000,4,Yes,Yes,Yes,No,No,4,8,0.6,16000,11000,24000,22000,9000
63,Mahindra,Scorpio N,Z2 Petrol MT,2024,SUV,Petrol,Manual,13.6,14.4,1997,7,9200,2,Yes,Yes,Yes,Yes,No,5,8,0.6,14000,9000,20000,18000,7000
64,Mahindra,Scorpio N,Z8 Diesel AT,2024,SUV,Diesel,Automatic,22.0,15.4,2198,7,10500,6,Yes,Yes,Yes,Yes,Yes,5,8,0.6,20000,14000,30000,28000,11000
65,Toyota,Glanza,G Petrol MT,2024,Hatchback,Petrol,Manual,6.7,22.3,1197,5,5200,2,Yes,Yes,Yes,No,No,3,9,0.7,6000,4000,8500,7500,3000
66,Toyota,Glanza,V Petrol AT,2024,Hatchback,Petrol,Automatic,9.2,22.0,1197,5,5600,6,Yes,Yes,Yes,No,Yes,4,9,0.7,9000,6000,14000,13000,5000
67,Toyota,Glanza,G CNG MT,2024,Hatchback,CNG,Manual,8.4,30.6,1197,5,5400,2,Yes,No,Yes,No,No,3,9,0.7,7200,4800,10500,9500,3600
68,Toyota,Urban Cruiser Hyryder,S Petrol MT,2024,SUV,Petrol,Manual,11.1,21.1,1462,5,7500,2,Yes,Yes,Yes,Yes,No,4,9,0.75,10000,7000,16000,15000,5500
69,Toyota,Urban Cruiser Hyryder,Hybrid AT,2024,SUV,Petrol,Automatic,18.8,27.9,1490,5,9000,6,Yes,Yes,Yes,Yes,Yes,5,9,0.75,18000,12000,26000,24000,9000
70,Honda,Amaze,E Petrol MT,2024,Sedan,Petrol,Manual,7.3,18.6,1199,5,6500,2,Yes,No,Yes,No,No,4,8,0.7,9000,6000,14000,13000,5000
71,Honda,Amaze,ZX Petrol AT,2024,Sedan,Petrol,Automatic,9.1,18.3,1199,5,7000,4,Yes,Yes,Yes,No,No,4,8,0.7,10000,7000,16000,15000,5500
72,Honda,Amaze,ZX Diesel MT,2024,Sedan,Diesel,Manual,9.6,24.7,1498,5,7200,4,Yes,Yes,Yes,No,No,4,8,0.7,10000,7000,16000,15000,5500
73,Kia,Sonet,HTE Petrol MT,2024,SUV,Petrol,Manual,8.0,18.4,1197,5,7000,2,Yes,Yes,Yes,No,No,3,8,0.65,9000,6000,14000,13000,5000
74,Kia,Sonet,GTX Plus Diesel AT,2024,SUV,Diesel,Automatic,14.5,19.0,1493,5,8200,6,Yes,Yes,Yes,Yes,Yes,4,8,0.65,16000,11000,24000,22000,9000
75,Kia,Sonet,HTK CNG MT,2024,SUV,CNG,Manual,9.2,24.1,1197,5,7400,2,Yes,No,Yes,No,No,3,8,0.65,9500,6500,15000,14000,5200
76,Hyundai,Venue,E Petrol MT,2024,SUV,Petrol,Manual,7.9,17.5,1197,5,7200,2,Yes,Yes,Yes,No,No,4,8,0.65,9000,6000,14000,13000,5000
77,Hyundai,Venue,SX Diesel AT,2024,SUV,Diesel,Automatic,13.6,23.4,1493,5,8500,6,Yes,Yes,Yes,Yes,Yes,4,8,0.65,15000,10000,22000,20000,8500
78,Hyundai,Venue,SX CNG MT,2024,SUV,CNG,Manual,10.1,24.2,1197,5,7600,2,Yes,No,Yes,No,No,4,8,0.65,9500,6500,15000,14000,5200
79,Tata Motors,Harrier,Smart Diesel MT,2024,SUV,Diesel,Manual,15.2,16.8,1956,5,9000,4,Yes,Yes,Yes,Yes,No,5,7,0.6,15000,10000,22000,20000,8500
80,Tata Motors,Harrier,Fearless Diesel AT,2024,SUV,Diesel,Automatic,24.0,14.6,1956,5,10500,6,Yes,Yes,Yes,Yes,Yes,5,7,0.6,22000,15000,32000,30000,12000
81,Tata Motors,Safari,Smart Diesel MT,2024,SUV,Diesel,Manual,16.2,16.3,1956,7,9200,4,Yes,Yes,Yes,Yes,No,5,7,0.6,15000,10000,22000,20000,8500
82,Tata Motors,Safari,Accomplished Diesel AT,2024,SUV,Diesel,Automatic,26.0,14.5,1956,7,11000,6,Yes,Yes,Yes,Yes,Yes,5,7,0.6,24000,16000,35000,33000,13000
83,Renault,Triber,RXE Petrol MT,2024,MPV,Petrol,Manual,6.0,19.0,999,7,5000,2,Yes,No,Yes,No,No,4,6,0.45,9000,6000,14000,13000,5000
84,Renault,Triber,RXZ Petrol AMT,2024,MPV,Petrol,Automatic,7.5,18.8,999,7,5500,4,Yes,Yes,Yes,No,No,4,6,0.45,10000,7000,16000,15000,5500
85,Renault,Triber,RXT CNG MT,2024,MPV,CNG,Manual,7.9,26.5,999,7,5400,2,Yes,No,Yes,No,No,4,6,0.45,9500,6500,15000,14000,5200
86,Nissan,Kicks,XL Petrol MT,2024,SUV,Petrol,Manual,9.5,14.2,1498,5,8000,2,Yes,Yes,Yes,No,No,4,6,0.45,10000,7000,16000,15000,5500
87,Nissan,Kicks,XV Diesel MT,2024,SUV,Diesel,Manual,11.8,19.3,1461,5,8500,4,Yes,Yes,Yes,No,No,4,6,0.45,12000,8000,18000,16000,6500
88,Skoda,Octavia,L&K Petrol AT,2024,Sedan,Petrol,Automatic,27.0,15.8,1984,5,12000,8,Yes,Yes,Yes,Yes,Yes,5,8,0.6,28000,18000,42000,40000,16000
89,Volkswagen,Tiguan,Allspace Petrol AT,2024,SUV,Petrol,Automatic,35.0,12.6,1984,5,13000,8,Yes,Yes,Yes,Yes,Yes,5,8,0.6,32000,22000,48000,45000,19000
90,Toyota,Fortuner,4x2 Diesel MT,2024,SUV,Diesel,Manual,33.5,14.2,2755,7,12000,7,Yes,Yes,Yes,Yes,Yes,5,9,0.8,42000,28000,55000,50000,22000
91,Toyota,Fortuner,4x4 Diesel AT,2024,SUV,Diesel,Automatic,41.0,13.5,2755,7,13500,7,Yes,Yes,Yes,Yes,Yes,5,9,0.8,45000,30000,60000,55000,25000
92,Honda,Elevate,SV Petrol MT,2024,SUV,Petrol,Manual,11.6,15.3,1498,5,7500,2,Yes,Yes,Yes,Yes,No,4,8,0.7,12000,8000,18000,16000,6500
93,Honda,Elevate,ZX Petrol CVT,2024,SUV,Petrol,Automatic,16.2,14.9,1498,5,8200,6,Yes,Yes,Yes,Yes,Yes,4,8,0.7,16000,11000,24000,22000,9000
94,Maruti Suzuki,Grand Vitara,Delta Petrol MT,2024,SUV,Petrol,Manual,10.8,21.1,1462,5,7200,2,Yes,Yes,Yes,Yes,No,4,7,0.6,10000,7000,16000,15000,5500
95,Maruti Suzuki,Grand Vitara,Strong Hybrid AT,2024,SUV,Petrol,Automatic,19.9,27.9,1490,5,8800,6,Yes,Yes,Yes,Yes,Yes,5,7,0.6,18000,12000,26000,24000,9000
96,Hyundai,Alcazar,Prestige Petrol MT,2024,SUV,Petrol,Manual,16.8,14.2,1999,6,9000,6,Yes,Yes,Yes,Yes,Yes,4,8,0.65,16000,11000,24000,22000,9000
97,Hyundai,Alcazar,Signature Diesel AT,2024,SUV,Diesel,Automatic,21.5,18.1,1493,6,10000,6,Yes,Yes,Yes,Yes,Yes,4,8,0.65,18000,12000,26000,24000,9000
98,Kia,Carnival,Prestige Diesel AT,2024,MPV,Diesel,Automatic,30.0,13.9,2199,7,12000,6,Yes,Yes,Yes,Yes,Yes,5,8,0.7,26000,18000,38000,36000,15000
99,Mahindra,Marazzo,M4 Diesel MT,2024,MPV,Diesel,Manual,14.6,17.3,1497,7,8000,4,Yes,Yes,Yes,No,No,4,7,0.55,14000,9000,20000,18000,7000
100,Mahindra,Marazzo,M6 Diesel MT,2024,MPV,Diesel,Manual,15.8,17.3,1497,7,8200,4,Yes,Yes,Yes,No,No,4,7,0.55,15000,10000,22000,20000,8500
101,Maruti Suzuki,Celerio,LXi Petrol MT,2024,Hatchback,Petrol,Manual,5.4,26.7,998,5,4300,2,Yes,No,Yes,No,No,3,7,0.6,6000,4000,8500,7500,3000
102,Maruti Suzuki,Celerio,ZXi Petrol AMT,2024,Hatchback,Petrol,Automatic,6.9,26.0,998,5,4600,2,Yes,Yes,Yes,No,No,3,7,0.6,7000,4500,10000,9000,3500
103,Maruti Suzuki,Celerio,ZXi CNG MT,2024,Hatchback,CNG,Manual,7.5,34.4,998,5,4500,2,Yes,No,Yes,No,No,3,8,0.6,7200,4800,10500,9500,3600
104,Maruti Suzuki,Ignis,Sigma Petrol MT,2024,Hatchback,Petrol,Manual,5.9,20.9,1197,5,4700,2,Yes,No,Yes,No,No,3,7,0.6,6500,4200,9000,8000,3200
105,Maruti Suzuki,Ignis,Alpha Petrol AMT,2024,Hatchback,Petrol,Automatic,7.4,20.0,1197,5,5000,2,Yes,Yes,Yes,No,No,3,7,0.6,7500,4800,11000,10000,3800
106,Hyundai,Aura,E Petrol MT,2024,Sedan,Petrol,Manual,6.4,20.5,1197,5,5800,2,Yes,No,Yes,No,No,3,8,0.65,6500,4200,9000,8000,3200
107,Hyundai,Aura,SX Petrol AMT,2024,Sedan,Petrol,Automatic,8.1,20.1,1197,5,6200,4,Yes,Yes,Yes,No,No,3,8,0.65,8000,5200,12000,11000,4200
108,Hyundai,Aura,SX CNG MT,2024,Sedan,CNG,Manual,8.7,27.1,1197,5,6000,2,Yes,No,Yes,No,No,3,8,0.65,7800,5000,11500,10500,3900
109,Tata Motors,Tigor,XE Petrol MT,2024,Sedan,Petrol,Manual,6.3,20.3,1199,5,5000,2,Yes,No,Yes,No,No,4,7,0.55,6500,4200,9000,8000,3200
110,Tata Motors,Tigor,XZ Plus Petrol AMT,2024,Sedan,Petrol,Automatic,8.2,19.6,1199,5,5400,4,Yes,Yes,Yes,No,No,4,7,0.55,8000,5200,12000,11000,4200
111,Tata Motors,Tigor,EV XZ Plus,2024,Sedan,Electric,Automatic,12.5,0.0,0,5,6500,4,Yes,Yes,Yes,No,No,4,7,0.55,12000,8000,18000,16000,6500
112,Honda,WR-V,S Petrol MT,2024,SUV,Petrol,Manual,9.1,16.5,1199,5,7000,2,Yes,Yes,Yes,No,No,4,8,0.7,9000,6000,14000,13000,5000
113,Honda,WR-V,ZX Petrol MT,2024,SUV,Petrol,Manual,10.2,16.5,1199,5,7400,4,Yes,Yes,Yes,No,No,4,8,0.7,10000,7000,16000,15000,5500
114,Volkswagen,Polo,Comfortline Petrol MT,2023,Hatchback,Petrol,Manual,7.1,18.2,999,5,9000,2,Yes,Yes,Yes,No,No,4,7,0.5,7000,4500,10000,9000,3500
115,Volkswagen,Polo,GT Petrol AT,2023,Hatchback,Petrol,Automatic,9.9,16.5,999,5,9500,4,Yes,Yes,Yes,No,No,4,7,0.5,9000,6000,14000,13000,5000
116,Skoda,Rapid,Active Petrol MT,2023,Sedan,Petrol,Manual,8.2,16.2,999,5,8800,2,Yes,Yes,Yes,No,No,4,7,0.5,8000,5200,12000,11000,4200
117,Skoda,Rapid,Style Petrol AT,2023,Sedan,Petrol,Automatic,11.5,16.0,999,5,9200,4,Yes,Yes,Yes,No,No,4,7,0.5,10000,7000,16000,15000,5500
118,Renault,Duster,RXS Petrol MT,2024,SUV,Petrol,Manual,10.5,14.2,1498,5,7500,2,Yes,Yes,Yes,No,No,4,6,0.45,10000,7000,16000,15000,5500
119,Renault,Duster,Turbo Petrol CVT,2024,SUV,Petrol,Automatic,13.2,13.8,1330,5,8200,4,Yes,Yes,Yes,No,No,4,6,0.45,13000,9000,20000,18000,7500
120,Nissan,Sunny,XL Petrol MT,2023,Sedan,Petrol,Manual,8.5,16.9,1498,5,7200,2,Yes,Yes,Yes,No,No,3,6,0.45,9000,6000,14000,13000,5000
121,Nissan,Sunny,XV Petrol CVT,2023,Sedan,Petrol,Automatic,9.9,16.5,1498,5,7600,4,Yes,Yes,Yes,No,No,3,6,0.45,10000,7000,16000,15000,5500
122,Toyota,Rumion,S Petrol MT,2024,MPV,Petrol,Manual,10.3,20.5,1462,7,6000,2,Yes,Yes,Yes,No,No,3,9,0.75,9000,6000,14000,13000,5000
123,Toyota,Rumion,V Petrol AT,2024,MPV,Petrol,Automatic,13.1,20.0,1462,7,6500,4,Yes,Yes,Yes,No,No,3,9,0.75,11000,7500,17000,16000,6000
124,Maruti Suzuki,XL6,Zeta Petrol MT,2024,MPV,Petrol,Manual,11.6,20.3,1462,6,6200,4,Yes,Yes,Yes,No,No,3,7,0.6,10000,7000,16000,15000,5500
125,Maruti Suzuki,XL6,Alpha Petrol AT,2024,MPV,Petrol,Automatic,13.9,20.0,1462,6,6800,4,Yes,Yes,Yes,No,No,3,7,0.6,12000,8000,18000,16000,6500
126,Hyundai,Kona Electric,Premium EV,2024,SUV,Electric,Automatic,23.8,0.0,0,5,9000,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,20000,14000,30000,28000,11000
127,Tata Motors,Tigor,CNG XZ MT,2024,Sedan,CNG,Manual,8.5,26.4,1199,5,5200,4,Yes,Yes,Yes,No,No,4,7,0.55,8000,5200,12000,11000,4200
128,Tata Motors,Altroz,Racer Petrol MT,2024,Hatchback,Petrol,Manual,9.8,18.5,1199,5,6000,6,Yes,Yes,Yes,No,No,5,7,0.6,10000,7000,16000,15000,5500
129,Mahindra,Bolero,B4 Diesel MT,2024,SUV,Diesel,Manual,9.8,16.7,1493,7,7000,2,Yes,No,No,No,No,3,7,0.55,9000,6000,14000,13000,5000
130,Mahindra,Bolero Neo,N10 Diesel MT,2024,SUV,Diesel,Manual,11.4,17.3,1493,7,7600,2,Yes,Yes,Yes,No,No,4,7,0.55,10000,7000,16000,15000,5500
131,Mahindra,XUV300,W4 Petrol MT,2024,SUV,Petrol,Manual,8.4,18.1,1197,5,6500,2,Yes,Yes,Yes,No,No,5,7,0.6,9000,6000,14000,13000,5000
132,Mahindra,XUV300,W8 Diesel AMT,2024,SUV,Diesel,Automatic,12.9,20.0,1497,5,7200,4,Yes,Yes,Yes,No,Yes,5,7,0.6,11000,7500,17000,16000,6000
133,Mahindra,XUV400 EV,EC Pro,2024,SUV,Electric,Automatic,15.5,0.0,0,5,8000,6,Yes,Yes,Yes,Yes,No,5,7,0.6,16000,11000,24000,22000,9000
134,Tata Motors,Tiago,EV XT LR,2024,Hatchback,Electric,Automatic,11.4,0.0,0,5,6500,4,Yes,Yes,Yes,No,No,4,7,0.55,13000,9000,20000,18000,7500
135,Tata Motors,Tigor,EV XT,2024,Sedan,Electric,Automatic,12.0,0.0,0,5,6400,4,Yes,Yes,Yes,No,No,4,7,0.55,13000,9000,20000,18000,7500
136,Toyota,Camry,Hybrid AT,2024,Sedan,Petrol,Automatic,46.0,19.1,2487,5,15000,9,Yes,Yes,Yes,Yes,Yes,5,9,0.8,28000,18000,42000,40000,16000
137,Toyota,Hilux,4x4 Diesel MT,2024,Pickup,Diesel,Manual,30.4,10.0,2755,5,14000,7,Yes,Yes,Yes,Yes,No,5,9,0.75,32000,22000,48000,45000,19000
138,Toyota,Vellfire,Hybrid AT,2024,MPV,Petrol,Automatic,95.0,16.4,2487,7,20000,10,Yes,Yes,Yes,Yes,Yes,5,9,0.85,45000,30000,60000,55000,25000
139,Skoda,Superb,L&K Petrol AT,2024,Sedan,Petrol,Automatic,54.0,15.1,1984,5,15000,9,Yes,Yes,Yes,Yes,Yes,5,8,0.65,30000,20000,45000,42000,17000
